epoch   0  loss=0.00032  in=37.077  enh=36.989  ΔY=-0.0098  ΔU=-0.3171  ΔV=-0.3551  lr=1.0e-04  (62s)
epoch   1  loss=0.00030  in=37.139  enh=37.091  ΔY=-0.0030  ΔU=-0.2060  ΔV=-0.1856  lr=1.0e-04  (58s)
epoch   2  loss=0.00030  in=37.099  enh=37.072  ΔY=-0.0010  ΔU=-0.1177  ΔV=-0.1008  lr=1.0e-04  (57s)
epoch   3  loss=0.00030  in=37.163  enh=37.144  ΔY=-0.0006  ΔU=-0.1060  ΔV=-0.0580  lr=1.0e-04  (57s)
epoch   4  loss=0.00030  in=37.033  enh=37.020  ΔY=-0.0025  ΔU=-0.0680  ΔV=-0.0246  lr=1.0e-04  (59s)
epoch   5  loss=0.00030  in=37.121  enh=37.112  ΔY=-0.0009  ΔU=-0.0528  ΔV=-0.0187  lr=1.0e-04  (61s)
epoch   6  loss=0.00029  in=37.050  enh=37.043  ΔY=-0.0011  ΔU=-0.0358  ΔV=-0.0060  lr=1.0e-04  (59s)
epoch   7  loss=0.00031  in=37.271  enh=37.267  ΔY=-0.0010  ΔU=-0.0333  ΔV=+0.0033  lr=1.0e-04  (61s)
epoch   8  loss=0.00030  in=37.049  enh=37.046  ΔY=+0.0002  ΔU=-0.0118  ΔV=-0.0100  lr=1.0e-04  (69s)
epoch   9  loss=0.00031  in=37.188  enh=37.185  ΔY=-0.0033  ΔU=-0.0084  ΔV=-0.0088  lr=1.0e-04  (65s)
epoch  10  loss=0.00030  in=36.861  enh=36.856  ΔY=+0.0000  ΔU=-0.0142  ΔV=-0.0415  lr=1.0e-04  (66s)
epoch  11  loss=0.00030  in=37.111  enh=37.111  ΔY=+0.0000  ΔU=-0.0165  ΔV=+0.0167  lr=1.0e-04  (66s)
epoch  12  loss=0.00030  in=36.997  enh=36.999  ΔY=+0.0004  ΔU=+0.0049  ΔV=+0.0099  lr=1.0e-04  (68s)
epoch  13  loss=0.00030  in=37.293  enh=37.293  ΔY=-0.0022  ΔU=-0.0000  ΔV=-0.0038  lr=1.0e-04  (63s)
epoch  14  loss=0.00030  in=37.263  enh=37.260  ΔY=+0.0004  ΔU=-0.0310  ΔV=+0.0118  lr=1.0e-04  (74s)
epoch  15  loss=0.00030  in=37.176  enh=37.176  ΔY=-0.0028  ΔU=+0.0004  ΔV=+0.0138  lr=1.0e-04  (72s)
epoch  16  loss=0.00030  in=37.089  enh=37.091  ΔY=+0.0000  ΔU=+0.0030  ΔV=+0.0071  lr=1.0e-04  (70s)
epoch  17  loss=0.00030  in=37.021  enh=37.022  ΔY=-0.0002  ΔU=+0.0098  ΔV=-0.0071  lr=1.0e-04  (67s)
epoch  18  loss=0.00030  in=37.282  enh=37.284  ΔY=-0.0001  ΔU=+0.0043  ΔV=+0.0100  lr=1.0e-04  (70s)
epoch  19  loss=0.00030  in=37.286  enh=37.290  ΔY=+0.0005  ΔU=+0.0056  ΔV=+0.0213  lr=1.0e-04  (70s)
epoch  20  loss=0.00030  in=37.211  enh=37.213  ΔY=-0.0001  ΔU=+0.0093  ΔV=-0.0029  lr=1.0e-04  (70s)
epoch  21  loss=0.00030  in=37.170  enh=37.173  ΔY=+0.0003  ΔU=+0.0011  ΔV=+0.0183  lr=1.0e-04  (68s)
epoch  22  loss=0.00030  in=37.089  enh=37.089  ΔY=+0.0005  ΔU=+0.0031  ΔV=-0.0083  lr=1.0e-04  (70s)
epoch  23  loss=0.00030  in=37.109  enh=37.111  ΔY=+0.0004  ΔU=+0.0087  ΔV=+0.0083  lr=1.0e-04  (68s)
epoch  24  loss=0.00029  in=37.132  enh=37.133  ΔY=-0.0005  ΔU=-0.0018  ΔV=+0.0151  lr=1.0e-04  (69s)
epoch  25  loss=0.00030  in=37.082  enh=37.081  ΔY=+0.0001  ΔU=+0.0040  ΔV=-0.0208  lr=1.0e-04  (68s)
epoch  26  loss=0.00030  in=37.156  enh=37.156  ΔY=+0.0000  ΔU=-0.0037  ΔV=+0.0140  lr=1.0e-04  (70s)
epoch  27  loss=0.00029  in=37.155  enh=37.157  ΔY=+0.0005  ΔU=+0.0109  ΔV=+0.0012  lr=1.0e-04  (69s)
epoch  28  loss=0.00030  in=37.060  enh=37.062  ΔY=-0.0001  ΔU=+0.0111  ΔV=+0.0094  lr=1.0e-04  (71s)
epoch  29  loss=0.00030  in=37.011  enh=37.012  ΔY=-0.0000  ΔU=+0.0087  ΔV=+0.0036  lr=1.0e-04  (70s)
epoch  30  loss=0.00030  in=37.183  enh=37.184  ΔY=+0.0004  ΔU=+0.0021  ΔV=+0.0149  lr=1.0e-04  (69s)
epoch  31  loss=0.00030  in=37.020  enh=37.022  ΔY=-0.0000  ΔU=+0.0079  ΔV=+0.0095  lr=1.0e-04  (70s)
epoch  32  loss=0.00030  in=37.199  enh=37.202  ΔY=-0.0003  ΔU=+0.0081  ΔV=+0.0199  lr=1.0e-04  (67s)
epoch  33  loss=0.00030  in=37.063  enh=37.065  ΔY=-0.0001  ΔU=+0.0093  ΔV=+0.0092  lr=1.0e-04  (69s)
epoch  34  loss=0.00030  in=37.267  enh=37.270  ΔY=-0.0002  ΔU=+0.0091  ΔV=+0.0174  lr=1.0e-04  (69s)
epoch  35  loss=0.00030  in=37.149  enh=37.152  ΔY=-0.0000  ΔU=+0.0105  ΔV=+0.0153  lr=1.0e-04  (68s)
epoch  36  loss=0.00030  in=37.115  enh=37.118  ΔY=+0.0000  ΔU=+0.0023  ΔV=+0.0110  lr=1.0e-04  (70s)
epoch  37  loss=0.00030  in=37.140  enh=37.142  ΔY=-0.0004  ΔU=+0.0054  ΔV=+0.0174  lr=1.0e-04  (69s)
epoch  38  loss=0.00030  in=36.951  enh=36.953  ΔY=+0.0000  ΔU=+0.0066  ΔV=+0.0137  lr=1.0e-04  (69s)
epoch  39  loss=0.00030  in=37.262  enh=37.264  ΔY=+0.0002  ΔU=-0.0022  ΔV=+0.0137  lr=1.0e-04  (68s)
epoch  40  loss=0.00030  in=37.081  enh=37.082  ΔY=+0.0001  ΔU=-0.0007  ΔV=+0.0087  lr=1.0e-04  (69s)
epoch  41  loss=0.00030  in=37.089  enh=37.091  ΔY=-0.0003  ΔU=-0.0010  ΔV=+0.0125  lr=1.0e-04  (67s)
epoch  42  loss=0.00030  in=37.082  enh=37.085  ΔY=+0.0003  ΔU=+0.0050  ΔV=+0.0166  lr=1.0e-04  (72s)
epoch  43  loss=0.00030  in=37.096  enh=37.097  ΔY=+0.0002  ΔU=+0.0018  ΔV=+0.0076  lr=1.0e-04  (68s)
epoch  44  loss=0.00030  in=37.043  enh=37.045  ΔY=+0.0005  ΔU=+0.0093  ΔV=+0.0124  lr=1.0e-04  (69s)
epoch  45  loss=0.00030  in=37.137  enh=37.139  ΔY=-0.0018  ΔU=+0.0110  ΔV=+0.0151  lr=1.0e-04  (69s)
epoch  46  loss=0.00030  in=37.058  enh=37.059  ΔY=-0.0000  ΔU=+0.0062  ΔV=+0.0019  lr=1.0e-04  (72s)
epoch  47  loss=0.00030  in=37.114  enh=37.115  ΔY=+0.0002  ΔU=+0.0033  ΔV=+0.0122  lr=1.0e-04  (73s)
epoch  48  loss=0.00030  in=37.081  enh=37.083  ΔY=+0.0001  ΔU=+0.0101  ΔV=+0.0085  lr=1.0e-04  (67s)
epoch  49  loss=0.00030  in=37.065  enh=37.066  ΔY=-0.0008  ΔU=+0.0005  ΔV=+0.0021  lr=1.0e-05  (66s)
epoch  50  loss=0.00030  in=36.949  enh=36.950  ΔY=+0.0001  ΔU=+0.0028  ΔV=+0.0064  lr=1.0e-05  (65s)
epoch  51  loss=0.00029  in=37.121  enh=37.124  ΔY=+0.0001  ΔU=+0.0114  ΔV=+0.0176  lr=1.0e-05  (71s)
epoch  52  loss=0.00030  in=37.128  enh=37.130  ΔY=+0.0003  ΔU=+0.0086  ΔV=+0.0140  lr=1.0e-05  (65s)
epoch  53  loss=0.00030  in=37.130  enh=37.133  ΔY=+0.0002  ΔU=+0.0066  ΔV=+0.0112  lr=1.0e-05  (63s)
epoch  54  loss=0.00030  in=37.111  enh=37.114  ΔY=+0.0006  ΔU=+0.0085  ΔV=+0.0181  lr=1.0e-05  (71s)
epoch  55  loss=0.00030  in=36.999  enh=37.003  ΔY=+0.0003  ΔU=+0.0069  ΔV=+0.0252  lr=1.0e-05  (70s)
epoch  56  loss=0.00030  in=37.073  enh=37.075  ΔY=+0.0002  ΔU=+0.0069  ΔV=+0.0142  lr=1.0e-05  (68s)
epoch  57  loss=0.00030  in=37.129  enh=37.132  ΔY=+0.0000  ΔU=+0.0085  ΔV=+0.0255  lr=1.0e-05  (66s)
epoch  58  loss=0.00030  in=37.142  enh=37.145  ΔY=+0.0004  ΔU=+0.0036  ΔV=+0.0252  lr=1.0e-05  (67s)
epoch  59  loss=0.00030  in=37.179  enh=37.181  ΔY=+0.0001  ΔU=+0.0081  ΔV=+0.0184  lr=1.0e-05  (66s)
epoch  60  loss=0.00030  in=37.229  enh=37.230  ΔY=+0.0002  ΔU=+0.0005  ΔV=+0.0085  lr=1.0e-05  (72s)
epoch  61  loss=0.00030  in=37.225  enh=37.227  ΔY=+0.0000  ΔU=+0.0088  ΔV=+0.0145  lr=1.0e-05  (67s)
epoch  62  loss=0.00030  in=37.035  enh=37.037  ΔY=+0.0003  ΔU=+0.0108  ΔV=+0.0063  lr=1.0e-05  (67s)
epoch  63  loss=0.00030  in=37.152  enh=37.156  ΔY=+0.0003  ΔU=+0.0082  ΔV=+0.0212  lr=1.0e-05  (71s)
epoch  64  loss=0.00030  in=37.211  enh=37.214  ΔY=+0.0001  ΔU=+0.0087  ΔV=+0.0280  lr=1.0e-05  (70s)
epoch  65  loss=0.00030  in=37.054  enh=37.056  ΔY=+0.0001  ΔU=+0.0086  ΔV=-0.0039  lr=1.0e-05  (67s)
epoch  66  loss=0.00030  in=37.219  enh=37.222  ΔY=-0.0000  ΔU=+0.0025  ΔV=+0.0172  lr=1.0e-05  (70s)
epoch  67  loss=0.00030  in=36.924  enh=36.927  ΔY=+0.0002  ΔU=+0.0082  ΔV=+0.0158  lr=1.0e-05  (71s)
epoch  68  loss=0.00030  in=37.215  enh=37.218  ΔY=+0.0005  ΔU=+0.0060  ΔV=+0.0199  lr=1.0e-05  (70s)
epoch  69  loss=0.00030  in=37.265  enh=37.268  ΔY=+0.0002  ΔU=+0.0119  ΔV=+0.0120  lr=1.0e-05  (71s)
epoch  70  loss=0.00030  in=36.864  enh=36.867  ΔY=+0.0001  ΔU=+0.0088  ΔV=+0.0126  lr=1.0e-05  (68s)
epoch  71  loss=0.00030  in=37.188  enh=37.191  ΔY=+0.0003  ΔU=+0.0068  ΔV=+0.0157  lr=1.0e-05  (67s)
