[gpu_lock] train_qg: acquired after 0.0 min
Loaded 2628 frame triplets for train
Loaded 329 frame triplets for val
Train: 2628  Val: 329
Params: 2,678,003
Logging to qg_conv_lstm_fixed2_train.log
epoch   0  loss=0.00031  in=37.147  enh=37.151  ΔY=+0.0002  ΔU=+0.0184  ΔV=+0.0135  lr=1.0e-04  (267s)
epoch   1  loss=0.00029  in=37.070  enh=37.083  ΔY=+0.0002  ΔU=+0.0719  ΔV=+0.0444  lr=1.0e-04  (219s)
epoch   2  loss=0.00030  in=37.098  enh=37.116  ΔY=-0.0005  ΔU=+0.1409  ΔV=+0.0147  lr=1.0e-04  (237s)
epoch   3  loss=0.00030  in=37.084  enh=37.118  ΔY=+0.0033  ΔU=+0.2047  ΔV=+0.0520  lr=1.0e-04  (363s)
epoch   4  loss=0.00029  in=37.159  enh=37.204  ΔY=+0.0129  ΔU=+0.2410  ΔV=+0.0725  lr=1.0e-04  (250s)
epoch   5  loss=0.00029  in=37.107  enh=37.179  ΔY=+0.0393  ΔU=+0.2483  ΔV=+0.0965  lr=1.0e-04  (213s)
epoch   6  loss=0.00029  in=37.157  enh=37.269  ΔY=+0.0801  ΔU=+0.3027  ΔV=+0.1167  lr=1.0e-04  (212s)
epoch   7  loss=0.00029  in=37.020  enh=37.143  ΔY=+0.1354  ΔU=+0.1530  ΔV=+0.0256  lr=1.0e-04  (213s)
epoch   8  loss=0.00029  in=37.151  enh=37.344  ΔY=+0.1718  ΔU=+0.3673  ΔV=+0.1665  lr=1.0e-04  (217s)
epoch   9  loss=0.00028  in=37.061  enh=37.240  ΔY=+0.2013  ΔU=+0.1260  ΔV=+0.0713  lr=1.0e-04  (215s)
epoch  10  loss=0.00028  in=37.106  enh=37.330  ΔY=+0.2068  ΔU=+0.4142  ΔV=+0.1183  lr=1.0e-04  (215s)
epoch  11  loss=0.00028  in=36.969  enh=37.226  ΔY=+0.2294  ΔU=+0.4379  ΔV=+0.2536  lr=1.0e-04  (213s)
epoch  12  loss=0.00028  in=37.149  enh=37.457  ΔY=+0.2652  ΔU=+0.5686  ΔV=+0.3166  lr=1.0e-04  (216s)
epoch  13  loss=0.00028  in=37.177  enh=37.485  ΔY=+0.2718  ΔU=+0.5253  ΔV=+0.3103  lr=1.0e-04  (215s)
epoch  14  loss=0.00028  in=37.177  enh=37.494  ΔY=+0.2824  ΔU=+0.6344  ΔV=+0.1838  lr=1.0e-04  (214s)
epoch  15  loss=0.00027  in=36.962  enh=37.305  ΔY=+0.2925  ΔU=+0.5977  ΔV=+0.3971  lr=1.0e-04  (216s)
epoch  16  loss=0.00027  in=37.202  enh=37.532  ΔY=+0.2833  ΔU=+0.5614  ΔV=+0.3761  lr=1.0e-04  (215s)
epoch  17  loss=0.00027  in=37.074  enh=37.430  ΔY=+0.2999  ΔU=+0.6012  ΔV=+0.4629  lr=1.0e-04  (218s)
epoch  18  loss=0.00027  in=36.889  enh=37.267  ΔY=+0.3083  ΔU=+0.7333  ΔV=+0.4408  lr=1.0e-04  (217s)
epoch  19  loss=0.00027  in=37.171  enh=37.579  ΔY=+0.3358  ΔU=+0.7652  ΔV=+0.5266  lr=1.0e-04  (214s)
  saved checkpoints/qg_conv_lstm_fixed2_epoch_20.pt
epoch  20  loss=0.00027  in=37.081  enh=37.445  ΔY=+0.3073  ΔU=+0.6295  ΔV=+0.4068  lr=1.0e-04  (217s)
epoch  21  loss=0.00027  in=37.147  enh=37.586  ΔY=+0.3671  ΔU=+0.7922  ΔV=+0.5365  lr=1.0e-04  (216s)
epoch  22  loss=0.00027  in=36.984  enh=37.412  ΔY=+0.3357  ΔU=+0.8218  ΔV=+0.5788  lr=1.0e-04  (212s)
epoch  23  loss=0.00027  in=37.172  enh=37.616  ΔY=+0.3730  ΔU=+0.7473  ΔV=+0.5848  lr=1.0e-04  (215s)
epoch  24  loss=0.00027  in=37.071  enh=37.522  ΔY=+0.3758  ΔU=+0.7666  ΔV=+0.6213  lr=1.0e-04  (214s)
epoch  25  loss=0.00026  in=36.783  enh=37.273  ΔY=+0.3993  ΔU=+0.8605  ΔV=+0.7115  lr=1.0e-04  (214s)
epoch  26  loss=0.00027  in=37.016  enh=37.530  ΔY=+0.4094  ΔU=+0.9603  ΔV=+0.7266  lr=1.0e-04  (213s)
epoch  27  loss=0.00026  in=37.201  enh=37.688  ΔY=+0.4026  ΔU=+0.8350  ΔV=+0.6831  lr=1.0e-04  (214s)
epoch  28  loss=0.00026  in=37.198  enh=37.717  ΔY=+0.3957  ΔU=+1.0561  ΔV=+0.7418  lr=1.0e-04  (212s)
epoch  29  loss=0.00026  in=36.976  enh=37.544  ΔY=+0.4512  ΔU=+1.0789  ΔV=+0.8346  lr=1.0e-04  (211s)
epoch  30  loss=0.00026  in=37.230  enh=37.761  ΔY=+0.4262  ΔU=+0.9604  ΔV=+0.7600  lr=1.0e-04  (215s)
epoch  31  loss=0.00026  in=37.040  enh=37.618  ΔY=+0.4478  ΔU=+1.0604  ΔV=+0.8951  lr=1.0e-04  (210s)
epoch  32  loss=0.00026  in=37.035  enh=37.589  ΔY=+0.4357  ΔU=+1.0141  ΔV=+0.8553  lr=1.0e-04  (216s)
epoch  33  loss=0.00026  in=37.182  enh=37.763  ΔY=+0.4559  ΔU=+1.1120  ΔV=+0.8659  lr=1.0e-04  (217s)
epoch  34  loss=0.00026  in=37.134  enh=37.679  ΔY=+0.4262  ΔU=+1.0004  ΔV=+0.8186  lr=1.0e-04  (295s)
epoch  35  loss=0.00026  in=37.129  enh=37.715  ΔY=+0.4641  ΔU=+0.9932  ΔV=+0.9127  lr=1.0e-04  (248s)
epoch  36  loss=0.00026  in=37.113  enh=37.713  ΔY=+0.4786  ΔU=+1.0532  ΔV=+0.9393  lr=1.0e-04  (334s)
epoch  37  loss=0.00026  in=37.243  enh=37.821  ΔY=+0.4767  ΔU=+0.9290  ΔV=+0.8463  lr=1.0e-04  (252s)
epoch  38  loss=0.00025  in=37.328  enh=37.948  ΔY=+0.4732  ΔU=+1.1940  ΔV=+0.9952  lr=1.0e-04  (219s)
epoch  39  loss=0.00026  in=37.187  enh=37.812  ΔY=+0.4972  ΔU=+1.1176  ΔV=+0.9193  lr=1.0e-04  (222s)
  saved checkpoints/qg_conv_lstm_fixed2_epoch_40.pt
epoch  40  loss=0.00025  in=37.139  enh=37.761  ΔY=+0.4902  ΔU=+1.1186  ΔV=+0.9682  lr=1.0e-04  (224s)
epoch  41  loss=0.00025  in=36.947  enh=37.596  ΔY=+0.4986  ΔU=+1.2321  ΔV=+1.0493  lr=1.0e-04  (227s)
epoch  42  loss=0.00025  in=37.037  enh=37.706  ΔY=+0.5151  ΔU=+1.3032  ΔV=+1.0265  lr=1.0e-04  (221s)
epoch  43  loss=0.00025  in=37.033  enh=37.652  ΔY=+0.5025  ΔU=+0.9742  ΔV=+0.9937  lr=1.0e-04  (220s)
epoch  44  loss=0.00025  in=37.126  enh=37.804  ΔY=+0.5324  ΔU=+1.2578  ΔV=+1.0732  lr=1.0e-04  (228s)
epoch  45  loss=0.00025  in=37.196  enh=37.872  ΔY=+0.5361  ΔU=+1.1862  ΔV=+1.0716  lr=1.0e-04  (300s)
epoch  46  loss=0.00025  in=36.975  enh=37.669  ΔY=+0.5408  ΔU=+1.3108  ΔV=+1.0963  lr=1.0e-04  (194s)
epoch  47  loss=0.00025  in=37.108  enh=37.820  ΔY=+0.5497  ΔU=+1.3412  ΔV=+1.1203  lr=1.0e-04  (196s)
epoch  48  loss=0.00025  in=37.175  enh=37.876  ΔY=+0.5583  ΔU=+1.2952  ΔV=+1.0162  lr=1.0e-04  (198s)
epoch  49  loss=0.00025  in=37.240  enh=37.900  ΔY=+0.5188  ΔU=+1.2079  ΔV=+0.9934  lr=1.0e-05  (194s)
epoch  50  loss=0.00025  in=37.060  enh=37.866  ΔY=+0.6213  ΔU=+1.5101  ΔV=+1.3499  lr=1.0e-05  (165s)
epoch  51  loss=0.00025  in=37.122  enh=37.923  ΔY=+0.6140  ΔU=+1.5290  ΔV=+1.3499  lr=1.0e-05  (157s)
epoch  52  loss=0.00024  in=37.165  enh=37.964  ΔY=+0.6060  ΔU=+1.5311  ΔV=+1.4078  lr=1.0e-05  (159s)
