[gpu_lock] train stenet_2024_mqp_off: acquired after 0.0 min
[VTMOnlineDataset] train: 11829 triplets from 212 (video,QP) pairs
[VTMOnlineDataset] val: 1315 triplets from 212 (video,QP) pairs
[stenet_2024_mqp_off] params=761,158 loss=stenet wd=0.0 train=11829 val=1315
[stenet_2024_mqp_off] warm start from checkpoints/stenet_2024_mqp_off_best.pt (weights only)
epoch   0  loss=0.00045  dY=+0.0961 dU=-0.0089 dV=-0.0287  lr=1.0e-04  (112s)
epoch   1  loss=0.00044  dY=+0.2269 dU=+0.0029 dV=-0.0079  lr=1.0e-04  (90s)
epoch   2  loss=0.00043  dY=+0.3274 dU=+0.0275 dV=+0.0190  lr=1.0e-04  (90s)
epoch   3  loss=0.00043  dY=+0.3715 dU=+0.0463 dV=+0.0297  lr=1.0e-04  (90s)
epoch   4  loss=0.00042  dY=+0.4235 dU=+0.0426 dV=-0.0104  lr=1.0e-04  (90s)
epoch   5  loss=0.00042  dY=+0.4130 dU=+0.0741 dV=+0.0611  lr=1.0e-04  (90s)
epoch   6  loss=0.00042  dY=+0.4345 dU=+0.0883 dV=+0.0766  lr=1.0e-04  (90s)
epoch   7  loss=0.00041  dY=+0.4555 dU=+0.0774 dV=+0.0575  lr=1.0e-04  (90s)
epoch   8  loss=0.00041  dY=+0.5203 dU=+0.1221 dV=+0.0897  lr=1.0e-04  (90s)
epoch   9  loss=0.00041  dY=+0.5179 dU=+0.1190 dV=+0.1037  lr=1.0e-04  (90s)
epoch  10  loss=0.00041  dY=+0.5494 dU=+0.1487 dV=+0.1219  lr=1.0e-04  (90s)
epoch  11  loss=0.00041  dY=+0.5589 dU=+0.1579 dV=+0.1448  lr=1.0e-04  (90s)
epoch  12  loss=0.00041  dY=+0.5480 dU=+0.1415 dV=+0.1551  lr=1.0e-05  (90s)
epoch  13  loss=0.00040  dY=+0.6026 dU=+0.2117 dV=+0.1884  lr=1.0e-05  (90s)
epoch  14  loss=0.00040  dY=+0.6129 dU=+0.2102 dV=+0.1972  lr=1.0e-05  (90s)
epoch  15  loss=0.00040  dY=+0.6149 dU=+0.2194 dV=+0.1971  lr=1.0e-05  (90s)
epoch  16  loss=0.00040  dY=+0.6250 dU=+0.2212 dV=+0.2072  lr=1.0e-05  (90s)
epoch  17  loss=0.00040  dY=+0.6205 dU=+0.2275 dV=+0.2036  lr=1.0e-05  (90s)
epoch  18  loss=0.00040  dY=+0.6264 dU=+0.2290 dV=+0.2105  lr=1.0e-05  (90s)
epoch  19  loss=0.00040  dY=+0.6287 dU=+0.2406 dV=+0.2124  lr=1.0e-05  (90s)
epoch  20  loss=0.00040  dY=+0.6237 dU=+0.2263 dV=+0.2145  lr=1.0e-05  (89s)
epoch  21  loss=0.00040  dY=+0.6304 dU=+0.2435 dV=+0.2216  lr=1.0e-05  (90s)
epoch  22  loss=0.00040  dY=+0.6307 dU=+0.2454 dV=+0.2185  lr=1.0e-05  (90s)
epoch  23  loss=0.00040  dY=+0.6310 dU=+0.2411 dV=+0.2241  lr=1.0e-05  (90s)
epoch  24  loss=0.00040  dY=+0.6366 dU=+0.2488 dV=+0.2209  lr=1.0e-06  (90s)
epoch  25  loss=0.00040  dY=+0.6382 dU=+0.2526 dV=+0.2258  lr=1.0e-06  (90s)
epoch  26  loss=0.00040  dY=+0.6373 dU=+0.2542 dV=+0.2241  lr=1.0e-06  (90s)
epoch  27  loss=0.00040  dY=+0.6309 dU=+0.2619 dV=+0.2370  lr=1.0e-06  (90s)
epoch  28  loss=0.00040  dY=+0.6358 dU=+0.2614 dV=+0.2300  lr=1.0e-06  (90s)
epoch  29  loss=0.00040  dY=+0.6430 dU=+0.2550 dV=+0.2303  lr=1.0e-06  (90s)
epoch  30  loss=0.00040  dY=+0.6390 dU=+0.2470 dV=+0.2354  lr=1.0e-06  (90s)
epoch  31  loss=0.00040  dY=+0.6426 dU=+0.2546 dV=+0.2376  lr=1.0e-06  (90s)
epoch  32  loss=0.00040  dY=+0.6432 dU=+0.2516 dV=+0.2285  lr=1.0e-06  (90s)
epoch  33  loss=0.00040  dY=+0.6356 dU=+0.2578 dV=+0.2330  lr=1.0e-06  (90s)
epoch  34  loss=0.00040  dY=+0.6361 dU=+0.2487 dV=+0.2351  lr=1.0e-06  (90s)
epoch  35  loss=0.00040  dY=+0.6331 dU=+0.2595 dV=+0.2358  lr=1.0e-06  (90s)
epoch  36  loss=0.00040  dY=+0.6383 dU=+0.2576 dV=+0.2343  lr=1.0e-06  (90s)
epoch  37  loss=0.00040  dY=+0.6432 dU=+0.2501 dV=+0.2318  lr=1.0e-07  (90s)
epoch  38  loss=0.00040  dY=+0.6450 dU=+0.2581 dV=+0.2279  lr=1.0e-07  (90s)
epoch  39  loss=0.00040  dY=+0.6406 dU=+0.2558 dV=+0.2387  lr=1.0e-07  (90s)
epoch  40  loss=0.00040  dY=+0.6461 dU=+0.2490 dV=+0.2380  lr=1.0e-07  (90s)
epoch  41  loss=0.00040  dY=+0.6342 dU=+0.2573 dV=+0.2318  lr=1.0e-07  (90s)
epoch  42  loss=0.00040  dY=+0.6384 dU=+0.2611 dV=+0.2363  lr=1.0e-07  (90s)
epoch  43  loss=0.00040  dY=+0.6395 dU=+0.2629 dV=+0.2287  lr=1.0e-07  (90s)
epoch  44  loss=0.00040  dY=+0.6319 dU=+0.2530 dV=+0.2353  lr=1.0e-07  (90s)
epoch  45  loss=0.00040  dY=+0.6374 dU=+0.2615 dV=+0.2355  lr=1.0e-07  (90s)
epoch  46  loss=0.00040  dY=+0.6435 dU=+0.2556 dV=+0.2371  lr=1.0e-07  (90s)
epoch  47  loss=0.00040  dY=+0.6446 dU=+0.2563 dV=+0.2319  lr=1.0e-07  (90s)
epoch  48  loss=0.00040  dY=+0.6411 dU=+0.2620 dV=+0.2334  lr=1.0e-07  (90s)
epoch  49  loss=0.00040  dY=+0.6376 dU=+0.2531 dV=+0.2310  lr=1.0e-08  (90s)
[stenet_2024_mqp_off] done, best total gain +1.1365 dB
